Длина;болта;Теоретическая;масса;1000;шт.;болтов,;кг≈,;при;номинальном;диаметре;резьбы;d,;мм
l;6;8;10;12;14;16;18;20;22;24;27;30;36;42;48
8;4,306;8,668;-;-;-;-;-;-;-;-;-;-;-;-;-
10;4,712;9,394;16,68;-;-;-;-;-;-;-;-;-;-;-;-
12;5,118;10,120;17,82;-;-;-;-;-;-;-;-;-;-;-;-
14;5,524;10,850;18,96;27,89;-;-;-;-;-;-;-;-;-;-;-
16;5,930;11,570;20,10;29,48;43,98;-;-;-;-;-;-;-;-;-;-
18;6,336;12,300;21,23;31,12;46,21;65,54;-;-;-;-;-;-;-;-;-
20;6,742;13,020;22,37;32,76;48,45;68,49;95,81;-;-;-;-;-;-;-;-
22;7,204;13,520;23,51;34,40;50,69;71,44;99,52;-;-;-;-;-;-;-;-
25;7,871;14,840;25,22;36,86;54,05;75,87;105,10;133,3;-;-;-;-;-;-;-
28;8,537;16,330;26,92;39,32;57,40;80,29;110,60;140,2;-;-;-;-;-;-;-
30;8,981;17,120;28,52;40,96;59,64;83,24;114,30;144,8;193,0;-;-;-;-;-;-
32;9,426;17,910;29,43;42,59;61,87;86,19;118,00;149,4;198,6;237,0;-;-;-;-;-
35;10,090;19,090;31,28;45,34;65,24;90,62;123,60;156,3;207,0;246,9;340,6;-;-;-;-
38;10,760;20,280;33,18;48,00;68,59;95,04;129,20;163,2;215,4;256,9;353,3;-;-;-;-
40;11,200;21,070;34,36;49,78;71,25;97,99;132,90;167,8;221,0;263,5;361,8;474,8;-;-;-
45;12,310;23,040;37,45;54,22;77,30;105,70;142,10;179,4;235,0;280,1;373,0;500,9;-;-;-
50;13,420;25,020;40,53;58,67;83,35;113,60;152,40;190,9;249,0;296,7;404,1;526,9;834,5;-;-
55;14,530;26,990;43,62;63,11;89,39;121,50;162,40;203,7;263,1;313,3;425,3;553,0;872,1;1304;-
60;15,640;28,970;46,70;67,55;95,44;129,40;172,40;216,0;278,9;329,9;446,5;579,0;909,8;1356;-
65;16,760;30,940;49,79;71,99;101,50;137,30;182,40;228,4;293,8;348,8;467,7;605,1;947,4;1407;2009
70;17,870;32,910;52,87;76,44;107,50;145,20;192,40;240,7;308,8;366,5;491,1;631,1;985,0;1458;2076
75;18,980;34,890;55,96;80,88;113,60;153,10;202,40;253,0;323,7;384,3;513,6;659,7;1023,0;1509;2143
80;20,090;36,860;59,04;85,33;119,60;161,00;212,40;265,0;338,6;402,1;536,1;687,5;1061,0;1561;2211
85;21,200;38,840;62,13;89,77;125,70;168,90;222,40;277,7;353,6;419,8;558,6;715,2;1098,0;1612;2278
90;22,310;40,810;65,21;94,20;131,70;176,80;232,40;290,1;368,5;437,6;581,0;743,0;1141,0;1663;2345
95;-;42,790;68,30;98,64;137,80;184,70;242,40;302,4;383,4;455,4;603,5;770,8;1181,0;1715;2412
100;-;44,760;71,38;103,10;143,80;192,60;252,40;314,7;398,3;473,2;626,0;798,5;1221,0;1766;2479
105;-;-;74,47;107,50;149,90;200,50;262,40;327,1;413,3;490,9;648,5;826,3;1261,0;1826;2546
110;-;-;77,55;112,00;155,90;208,40;272,30;339,4;428,2;508,7;671,0;854,1;1301,0;1880;2614
115;-;-;80,63;116,40;162,00;216,30;282,30;351,8;443,1;526,5;693,5;881,8;1341,0;1934;2690
120;-;-;83,72;120,90;168,00;224,20;292,30;364,1;458,1;544,2;716,0;909,6;1381,0;1989;2760
125;-;-;86,80;125,30;174,00;232,10;302,30;376,4;473,0;562,0;738,5;937,4;1421,0;2043;2831
130;-;-;89,89;129,70;180,10;240,00;312,30;388,8;487,9;579,8;761,0;965,2;1461,0;2098;2903
140;-;-;96,06;138,60;192,20;255,80;332,30;413,5;517,8;615,3;806,0;1021,0;1541,0;2207;3045
150;-;-;102,18;147,50;204,30;271,60;352,30;438,1;547,6;650,8;850,1;1076,0;1621,0;2315;3187
160;-;-;108,38;156,40;216,40;287,40;372,30;462,8;577,5;686,4;895,9;1132,0;1701,0;2424;3329
170;-;-;114,58;165,30;228,50;303,20;392,30;487,5;607,4;721,9;940,9;1188,0;1780,0;2533;3471
180;-;-;120,68;174,20;240,60;319,00;412,30;512,2;637,2;757,5;985,9;1243,0;1860,0;2642;3614
190;-;-;126,88;183,10;252,70;333,80;432,30;536,9;667,1;793,0;1031,0;1299,0;1940,0;2751;3756
200;-;-;133,08;191,90;264,70;350,60;452,20;561,5;697,0;828,6;1076,0;1354,0;2020,0;2860;3898
220;-;-;-;209,70;228,90;382,20;492,20;610,9;756,7;899,6;1166,0;1465,0;2180,0;3077;4182
240;-;-;-;227,50;313,10;413,80;532,20;660,3;816,4;970,8;1256,0;1576,0;2340,0;3295;4466
260;-;-;-;245,20;337,60;445,40;572,20;709,6;876,1;1042,0;1346,0;1687,0;2500,0;3513;4751
280;-;-;-;-;361,50;476,90;612,20;759,0;935,9;1113,0;1436,0;1798,0;2660,0;3730;5035
300;-;-;-;-;385,70;508,50;652,20;808,3;995,6;1184,0;1526,0;1910,0;2820,0;3948;5319;